Time,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Yaw,Pitch,Roll
1755173943.0906112,-82.1947533368513,-115.30500620516808,-622.5880406765395,-0.800191002255791,0.04452272767370883,-0.5980903666080614,0.1285198048125173,0.9868042486921206,-0.09848875333828973,0.5858131269268597,-0.15567627142140442,-0.7953539330615673,-168.92538857230014,-35.86045449213054,170.87556956537807
1755173943.1356988,-86.78769907972756,-114.02071135040605,-615.8191335648611,-0.7347319577850256,-0.020108846701417153,-0.6780594254884466,0.08752694195224758,0.9883949731654325,-0.12415478828378973,0.672687137265067,-0.1505689586390358,-0.7244453078407542,-168.25878522614798,-42.27479965820572,173.20650023196532
1755173943.1828794,-91.4711975879385,-111.27523745345495,-606.8997323252682,-0.6966291157717761,-0.019020716258974786,-0.7171792575165771,0.05577735971482146,0.9951868540081095,-0.08057302124585596,0.71525992562304,-0.09613187797207186,-0.6922152128025546,-172.0935781985891,-45.664505059245734,175.42223523719372
1755173943.2193077,-96.15899215887491,-108.42965772370138,-598.4261647524648,-0.6544747207140209,-0.044623541005753185,-0.7547659104215109,0.029505797133765756,0.9959890383217697,-0.08447037041695866,0.7555079403168475,-0.07755369192362803,-0.6505329945415602,-173.20153458439708,-49.06977228480154,177.41867234958238
1755173943.2648876,-100.98379327217566,-105.30665041018842,-591.9558741786504,-0.6283673923391887,-0.04813856281677685,-0.7764258490125012,0.007889078662001378,0.99763784870072,-0.06823844427933415,0.7778767143209216,-0.04900409788715906,-0.6265033245782123,-175.52752108461206,-51.066578370705834,179.28069602287053
1755173943.3061154,-105.38995883213009,-101.25612824920606,-584.3934349400668,-0.596236741631208,-0.03260124930536442,-0.8021464370504489,-0.021332591088387892,0.9994656834798293,-0.024764250516694227,0.8025251824624918,0.0023465058975917774,-0.5966136316106235,179.77465450974722,-53.371920633816345,-177.95090405904804
1755173943.347982,-110.04664014893322,-97.52306800352275,-579.9817537785599,-0.5603325967668977,-0.024091763078157455,-0.8279172470435988,-0.04788221132416619,0.9988474019520388,0.0033408759885444513,0.8268825036479931,0.04151451030000078,-0.5608403254005351,175.7665738016257,-55.779814968904574,-175.1157580998263
1755173943.3992045,-114.62076429211861,-95.05269854006104,-578.4480574732177,-0.5268330383972192,-0.030472195630986045,-0.8494223890071305,-0.07363626722765233,0.9972360631050634,0.00989619075662396,0.8467730804660313,0.0677619342709506,-0.5276207638654182,172.68160774750578,-57.86240737696597,-172.04322794694747
1755173943.4444058,-118.06713650776246,-92.94448186353087,-575.247773003953,-0.5179196601307341,-0.03452834723544825,-0.8547321328271527,-0.09664900691735445,0.9951491167253661,0.018363140870053342,0.8499518781154343,0.09211964349644741,-0.5187444227846053,169.9302790220211,-58.206435768060224,-169.429612005861
1755173943.4994693,-120.60807075901269,-91.90576043527152,-573.6962676884377,-0.48964535939840415,-0.04960472306739054,-0.8705095022278705,-0.11523942997152865,0.9933037487880689,0.008218054721441326,0.8642726975899705,0.10434095117917487,-0.49208299107729814,168.0283567397275,-59.79976030627014,-166.75629163577827
